name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Central Carolina Technical College,South Carolina,SC,Public,2 Year,,5760,5760,9630,9630,,,,,,
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960,25,Kansas,37100,66100,,2
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575,9,Iowa,49000,88800,55,36
Central Community College,Nebraska,NE,Public,2 Year,7106,3000,10106,4320,11426,,,,,,
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032,12,Connecticut,53100,93700,45,15
Central Georgia Technical College,Georgia,GA,Public,2 Year,,3308,3308,5978,5978,,,,,,
Central Lakes College,Minnesota,MN,Public,2 Year,4000,5492,9492,5492,9492,,,,,,
Central Maine Community College,Maine,ME,Public,2 Year,9340,3720,13060,6540,15880,,,,,,
Central Methodist University,Missouri,MO,Private,4 Year,7940,24420,32360,24420,32360,,,,,,
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036,23,Michigan,47700,83600,46,13
Central New Mexico Community College,New Mexico,NM,Public,2 Year,,1626,1626,7338,7338,,,,,,
Central Ohio Technical College,Ohio,OH,Public,2 Year,,4536,4536,7296,7296,,,,,,
Central Oregon Community College,Oregon,OR,Public,2 Year,10770,4938,15708,13218,23988,,,,,,
Central Penn College,Pennsylvania,PA,For Profit,4 Year,8094,18714,26808,18714,26808,,,,,,
Central Piedmont Community College,North Carolina,NC,Public,2 Year,,2792,2792,8936,8936,,,,,,
Central State University,Ohio,OH,Public,4 Year,10232,6346,16578,8346,18578,,,,,,
Central Texas College,Texas,TX,Public,2 Year,5040,2700,7740,7050,12090,,,,,,
Central Virginia Community College,Virginia,VA,Public,2 Year,,4838,4838,10766,10766,,,,,,
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168,14,Washington,52700,93200,47,13
Central Wyoming College,Wyoming,WY,Public,2 Year,6681,3120,9801,7632,14313,,,,,,
Central Yeshiva Tomchei Tmimim-Lubavitch,New York,NY,Private,4 Year,3500,7700,11200,7700,11200,,,,,,
Centralia College,Washington,WA,Public,2 Year,,4438,4438,4873,4873,,,,,,
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180,4,Kentucky,49500,88500,52,22
Century College,Minnesota,MN,Public,2 Year,,5417,5417,5417,5417,,,,,,
Cerritos College,California,CA,Public,2 Year,,1438,1438,9688,9688,,,,,,
Cerro Coso Community College,California,CA,Public,2 Year,,1382,1382,7802,7802,,,,,,
Chabot College,California,CA,Public,2 Year,,1414,1414,9664,9664,,,,,,
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576,16,Nebraska,42300,76700,66,3
Chaffey College,California,CA,Public,2 Year,,1414,1414,9454,9454,,,,,,
Chamberlain College Of Nursing: Tinley Park,Illinois,IL,For Profit,4 Year,,20850,20850,20850,20850,,,,,,
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004,4,Hawaii,45400,84000,55,3
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364,7,Vermont,51100,88400,39,14
Chandler-Gilbert Community College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810,,,,,,
Chapman University,California,CA,Private,4 Year,15828,52724,68552,52724,68552,,,,,,
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,,17440,17440,17440,17440,5,California,78300,135700,,3
Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700,17,South-Carolina,42800,76300,65,9
Charlotte Christian College and Theological Seminary,North Carolina,NC,Private,4 Year,,10688,10688,10688,10688,,,,,,
Charter Oak State College,Connecticut,CT,Public,4 Year,,10161,10161,13101,13101,18,Connecticut,49200,85900,68,2
Chatfield College,Ohio,OH,Private,2 Year,,12184,12184,12184,12184,,,,,,
Chatham University,Pennsylvania,PA,Private,4 Year,12090,37611,49701,37611,49701,,,,,,
Chattahoochee Technical College,Georgia,GA,Public,2 Year,,3350,3350,6020,6020,,,,,,
Chattahoochee Valley Community College,Alabama,AL,Public,2 Year,,4560,4560,8670,8670,,,,,,
Chattanooga State Community College,Tennessee,TN,Public,2 Year,,4778,4778,17684,17684,,,,,,
Chemeketa Community College,Oregon,OR,Public,2 Year,,4725,4725,12960,12960,,,,,,
Chesapeake College,Maryland,MD,Public,2 Year,,4760,4760,9110,9110,,,,,,
Chestnut Hill College,Pennsylvania,PA,Private,4 Year,11000,36180,47180,36180,47180,,,,,,
Cheyney University of Pennsylvania,Pennsylvania,PA,Public,4 Year,11018,9479,20497,14495,25513,,,,,,
Chicago State University,Illinois,IL,Public,4 Year,8724,12177,20901,20877,29601,,,,,,
Chief Dull Knife College,Montana,MT,Public,2 Year,,2260,2260,2260,2260,,,,,,
Chipola College,Florida,FL,Public,2 Year,,3160,3160,8990,8990,,,,,,
Chippewa Valley Technical College,Wisconsin,WI,Public,2 Year,,4364,4364,6377,6377,,,,,,
Chowan University,North Carolina,NC,Private,4 Year,9400,24980,34380,24980,34380,,,,,,
Christendom College,Virginia,VA,Private,4 Year,10280,26360,36640,26360,36640,,,,,,
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220,4,Tennessee,51500,96500,60,14
